92: Date: 19th Aug, Values={'ma10': 573.6, 'ma20': 647.05, 'ma50': 999.4, 'ma200': 862.83}
93: Date: 18th Aug, Values={'ma10': 536.2, 'ma20': 656.6, 'ma50': 1012.98, 'ma200': 863.545}
94: Date: 14th Aug, Values={'ma10': 502.7, 'ma20': 675.95, 'ma50': 1027.38, 'ma200': 864.545}
95: Date: 13th Aug, Values={'ma10': 506.4, 'ma20': 715.6, 'ma50': 1045.62, 'ma200': 867.455}
96: Date: 12th Aug, Values={'ma10': 514.6, 'ma20': 753.15, 'ma50': 1061.2, 'ma200': 870.28}
97: Date: 11th Aug, Values={'ma10': 526.1, 'ma20': 791.8, 'ma50': 1077.76, 'ma200': 872.835}
98: Date: 8th Aug, Values={'ma10': 531.6, 'ma20': 820.25, 'ma50': 1097.56, 'ma200': 875.745}
99: Date: 7th Aug, Values={'ma10': 558.4, 'ma20': 851.75, 'ma50': 1119.2, 'ma200': 878.815}
100: Date: 6th Aug, Values={'ma10': 610.7, 'ma20': 890.5, 'ma50': 1140.72, 'ma200': 881.96}
101: Date: 5th Aug, Values={'ma10': 673.5, 'ma20': 929.85, 'ma50': 1162.7, 'ma200': 885.295}
102: Date: 4th Aug, Values={'ma10': 720.5, 'ma20': 961.95, 'ma50': 1183.26, 'ma200': 887.1}
103: Date: 1st Aug, Values={'ma10': 777.0, 'ma20': 996.5, 'ma50': 1204.5, 'ma200': 888.42}
104: Date: 31st Jul, Values={'ma10': 849.2, 'ma20': 1043.2, 'ma50': 1228.54, 'ma200': 890.865}
105: Date: 30th Jul, Values={'ma10': 924.8, 'ma20': 1082.3, 'ma50': 1249.4, 'ma200': 892.1}
106: Date: 29th Jul, Values={'ma10': 991.7, 'ma20': 1115.7, 'ma50': 1269.66, 'ma200': 892.065}
107: Date: 28th Jul, Values={'ma10': 1057.5, 'ma20': 1157.3, 'ma50': 1290.66, 'ma200': 893.3}
108: Date: 25th Jul, Values={'ma10': 1108.9, 'ma20': 1206.4, 'ma50': 1316.44, 'ma200': 895.85}
109: Date: 24th Jul, Values={'ma10': 1145.1, 'ma20': 1245.75, 'ma50': 1339.2, 'ma200': 897.195}
110: Date: 23rd Jul, Values={'ma10': 1170.3, 'ma20': 1265.3, 'ma50': 1354.48, 'ma200': 896.455}
111: Date: 22nd Jul, Values={'ma10': 1186.2, 'ma20': 1278.55, 'ma50': 1366.96, 'ma200': 895.54}
112: Date: 21st Jul, Values={'ma10': 1203.4, 'ma20': 1278.55, 'ma50': 1378.02, 'ma200': 894.97}
113: Date: 18th Jul, Values={'ma10': 1216.0, 'ma20': 1262.7, 'ma50': 1384.28, 'ma200': 893.815}
114: Date: 17th Jul, Values={'ma10': 1237.2, 'ma20': 1245.65, 'ma50': 1371.54, 'ma200': 891.43}
115: Date: 16th Jul, Values={'ma10': 1239.8, 'ma20': 1208.35, 'ma50': 1357.42, 'ma200': 887.165}
116: Date: 15th Jul, Values={'ma10': 1239.7, 'ma20': 1187.8, 'ma50': 1346.08, 'ma200': 882.68}
