Date,Up 4-5%+ today,Down 4-5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
18th Sep 2024,70,40,26,3,1007,958,1218,747,1604,362
17th Sep 2024,76,33,22,2,1156,809,1293,672,1629,337
16th Sep 2024,123,23,29,0,1227,735,1333,629,1648,315
13th Sep 2024,124,16,22,2,1194,766,1327,633,1637,324
12th Sep 2024,94,16,15,2,1078,880,1242,717,1605,355
11th Sep 2024,64,44,21,1,923,1033,1172,784,1576,381
10th Sep 2024,135,13,22,1,1102,853,1271,684,1602,354
9th Sep 2024,82,52,24,2,880,1076,1135,821,1558,399
6th Sep 2024,50,42,21,1,975,980,1203,752,1577,379
5th Sep 2024,128,13,30,1,1217,735,1345,608,1618,336
4th Sep 2024,101,19,17,1,1133,820,1294,659,1599,355
3rd Sep 2024,95,18,14,2,1172,780,1312,640,1600,353
2nd Sep 2024,70,38,18,3,1148,803,1313,638,1597,355
30th Aug 2024,109,16,17,1,1267,682,1381,568,1620,330
29th Aug 2024,47,34,19,0,1187,763,1339,611,1614,337
28th Aug 2024,73,27,25,0,1338,611,1418,531,1636,314
27th Aug 2024,124,26,41,1,1406,541,1441,506,1642,306
26th Aug 2024,134,38,53,1,1370,578,1412,537,1623,326
23rd Aug 2024,124,17,63,1,1408,538,1394,553,1623,324
22nd Aug 2024,146,17,61,1,1439,507,1416,531,1620,327
21st Aug 2024,182,14,49,0,1331,615,1338,609,1583,364
20th Aug 2024,180,28,29,2,1167,777,1249,696,1556,389
19th Aug 2024,243,15,36,2,1043,903,1167,780,1528,419
16th Aug 2024,180,32,26,5,835,1108,1027,917,1463,481
14th Aug 2024,63,119,20,5,628,1315,909,1035,1429,515
13th Aug 2024,49,187,36,3,666,1275,993,949,1455,487
12th Aug 2024,134,65,34,3,868,1074,1136,807,1522,421
9th Aug 2024,156,43,17,4,863,1076,1155,785,1535,405
