Date,Up 4-5%+ today,Down 4-5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
5th Mar 26 2026,115,19,9,3,403,1737,466,1675,508,1633
4th Mar 26 2026,48,260,7,4,291,1849,400,1741,465,1676
2nd Mar 26 2026,60,263,6,4,445,1696,490,1652,559,1583
27th Feb 26 2026,42,60,8,1,689,1450,687,1453,665,1475
26th Feb 26 2026,67,21,9,5,832,1307,760,1380,701,1439
25th Feb 26 2026,56,42,5,3,786,1353,740,1400,695,1445
24th Feb 26 2026,25,94,9,2,702,1437,673,1467,683,1457
23rd Feb 26 2026,63,49,6,2,856,1285,782,1360,715,1427
20th Feb 26 2026,50,30,9,4,832,1307,771,1369,706,1434
19th Feb 26 2026,35,52,9,6,799,1340,753,1387,703,1437
18th Feb 26 2026,70,18,6,7,1093,1046,926,1214,771,1369
17th Feb 26 2026,109,19,8,3,1029,1110,865,1275,748,1392
16th Feb 26 2026,51,106,12,4,924,1217,777,1365,727,1415
13th Feb 26 2026,35,168,21,1,962,1177,793,1347,723,1417
12th Feb 26 2026,62,104,28,1,1310,829,1025,1115,790,1349
11th Feb 26 2026,93,64,16,2,1492,647,1120,1020,817,1323
10th Feb 26 2026,137,38,34,1,1572,566,1148,991,817,1322
9th Feb 26 2026,389,18,53,1,1513,628,1068,1074,802,1340
6th Feb 26 2026,59,74,30,3,1123,1016,771,1369,682,1458
5th Feb 26 2026,58,91,33,6,1159,980,778,1362,688,1452
4th Feb 26 2026,240,54,44,18,1345,794,842,1298,721,1419
3rd Feb 26 2026,526,12,27,18,1136,1004,744,1396,701,1439
2nd Feb 26 2026,77,74,16,19,450,1691,370,1771,531,1610
1st Feb 26 2026,58,239,9,4,431,1710,359,1782,492,1649
30th Jan 26 2026,167,98,15,6,665,1474,494,1645,601,1538
29th Jan 26 2026,139,61,25,5,533,1606,432,1707,569,1570
28th Jan 26 2026,352,21,12,6,537,1602,423,1716,556,1583
27th Jan 26 2026,103,71,4,10,308,1834,322,1820,483,1659
23rd Jan 26 2026,55,209,2,6,273,1866,294,1845,476,1663
22nd Jan 26 2026,178,56,3,4,362,1777,371,1768,544,1595
21st Jan 26 2026,58,144,21,2,231,1908,290,1849,485,1654
20th Jan 26 2026,30,375,25,1,254,1885,316,1823,520,1619
19th Jan 26 2026,44,88,30,2,450,1692,474,1668,625,1517
16th Jan 26 2026,72,33,27,2,537,1601,534,1604,673,1465
14th Jan 26 2026,84,21,7,1,525,1612,554,1583,687,1450
13th Jan 26 2026,70,16,5,1,488,1649,522,1615,676,1461
12th Jan 26 2026,61,74,6,3,426,1714,503,1637,667,1473
9th Jan 26 2026,17,103,4,3,428,1707,534,1601,684,1451
8th Jan 26 2026,15,139,7,3,666,1470,700,1436,770,1366
7th Jan 26 2026,68,17,14,3,1061,1075,915,1221,857,1279
6th Jan 26 2026,44,27,16,1,1022,1113,878,1257,842,1293
5th Jan 26 2026,64,38,15,1,1142,995,936,1201,867,1270
2nd Jan 26 2026,102,11,12,1,1316,818,955,1179,870,1264
1st Jan 26 2026,63,16,9,2,1077,1058,830,1305,815,1320
31st Dec 25 2025,84,15,7,2,1049,1084,805,1328,812,1321
30th Dec 25 2025,57,33,9,2,773,1358,686,1445,760,1371
29th Dec 25 2025,44,45,13,0,752,1383,713,1422,764,1371
26th Dec 25 2025,64,18,19,0,929,1203,765,1367,794,1338
24th Dec 25 2025,57,15,13,0,1084,1047,800,1331,811,1320
23rd Dec 25 2025,66,16,9,2,1130,1001,808,1323,818,1313
22nd Dec 25 2025,114,13,8,1,1014,1119,749,1384,802,1331
19th Dec 25 2025,91,17,9,1,700,1430,640,1490,758,1372
18th Dec 25 2025,40,30,11,1,492,1637,536,1593,714,1415
17th Dec 25 2025,32,56,13,1,496,1631,569,1558,723,1404
16th Dec 25 2025,38,30,14,0,624,1503,616,1511,755,1372
15th Dec 25 2025,79,22,16,1,745,1381,673,1453,777,1349
12th Dec 25 2025,99,10,9,3,697,1423,651,1470,759,1362
11th Dec 25 2025,78,15,6,3,505,1615,560,1560,724,1397
10th Dec 25 2025,54,28,7,2,388,1728,478,1638,708,1409
9th Dec 25 2025,134,15,1,2,424,1692,512,1604,713,1404
8th Dec 25 2025,18,240,3,2,319,1799,461,1657,685,1434
5th Dec 25 2025,33,36,3,3,539,1576,616,1499,782,1334
4th Dec 25 2025,29,27,3,4,528,1587,634,1481,790,1326
3rd Dec 25 2025,18,41,1,3,532,1582,632,1482,807,1308
2nd Dec 25 2025,28,33,5,2,644,1470,706,1408,826,1289
1st Dec 25 2025,63,36,6,3,726,1389,739,1377,850,1266
28th Nov 25 2025,58,21,2,3,750,1360,759,1352,856,1255
27th Nov 25 2025,54,20,2,3,740,1368,753,1356,853,1256
26th Nov 25 2025,82,14,3,2,744,1363,755,1353,867,1241
25th Nov 25 2025,70,13,5,3,556,1550,641,1467,814,1294
24th Nov 25 2025,35,135,6,6,516,1593,620,1490,793,1317
21st Nov 25 2025,30,34,6,4,605,1497,693,1411,848,1256
20th Nov 25 2025,40,23,9,4,759,1344,819,1285,886,1218
19th Nov 25 2025,43,41,7,3,787,1314,824,1278,904,1198
18th Nov 25 2025,39,38,12,3,773,1326,833,1267,906,1194
17th Nov 25 2025,98,49,11,2,940,1162,907,1196,952,1151
14th Nov 25 2025,73,44,12,2,870,1226,873,1224,930,1167
13th Nov 25 2025,70,50,12,2,852,1242,868,1227,956,1139
12th Nov 25 2025,107,26,8,2,888,1204,901,1192,965,1128
11th Nov 25 2025,70,53,7,8,738,1356,809,1286,923,1172
10th Nov 25 2025,83,89,11,7,739,1356,809,1287,925,1171
7th Nov 25 2025,72,41,11,3,666,1425,805,1286,922,1169
6th Nov 25 2025,44,146,13,3,604,1486,804,1286,912,1178
4th Nov 25 2025,39,27,15,1,879,1210,967,1122,1013,1076
3rd Nov 25 2025,97,38,17,1,1096,996,1081,1011,1054,1038
31st Oct 25 2025,43,29,12,0,975,1109,1014,1070,1025,1059
30th Oct 25 2025,53,23,9,0,1130,954,1096,988,1056,1028
29th Oct 25 2025,85,24,11,0,1166,917,1103,980,1067,1016
28th Oct 25 2025,61,30,13,1,1005,1083,1000,1088,1029,1059
27th Oct 25 2025,80,37,19,2,1028,1067,1012,1083,1051,1044
24th Oct 25 2025,50,27,17,3,985,1103,976,1112,1016,1072
23rd Oct 25 2025,78,47,19,3,1072,1016,1017,1071,1041,1047
21st Oct 25 2025,57,2,22,0,1126,961,1028,1059,1047,1040
20th Oct 25 2025,97,43,14,3,942,1152,917,1177,1001,1093
17th Oct 25 2025,43,42,11,1,849,1236,860,1225,966,1119
16th Oct 25 2025,78,34,13,2,936,1146,923,1159,999,1083
15th Oct 25 2025,88,27,13,2,831,1251,873,1209,965,1117
14th Oct 25 2025,42,66,24,3,679,1401,784,1296,927,1153
13th Oct 25 2025,55,44,18,4,858,1226,903,1181,994,1090
10th Oct 25 2025,85,24,20,3,1007,1071,975,1103,1033,1045
9th Oct 25 2025,92,39,32,5,912,1168,927,1153,1010,1070
8th Oct 25 2025,79,26,31,2,824,1253,879,1198,992,1085
7th Oct 25 2025,63,33,22,1,911,1164,935,1140,1007,1068
6th Oct 25 2025,83,36,19,1,940,1135,945,1130,1007,1068
3rd Oct 25 2025,128,13,11,1,910,1162,929,1143,1023,1050
1st Oct 25 2025,128,9,12,1,692,1377,789,1280,965,1105
30th Sep 25 2025,41,28,8,2,488,1575,616,1447,884,1180
29th Sep 25 2025,64,61,14,3,456,1610,626,1440,881,1186
26th Sep 25 2025,14,113,18,1,452,1605,618,1439,885,1173
25th Sep 25 2025,42,36,21,1,749,1307,896,1160,1011,1046
24th Sep 25 2025,54,29,18,2,943,1112,1057,998,1073,983
23rd Sep 25 2025,67,23,20,2,1118,936,1159,895,1115,940
22nd Sep 25 2025,79,41,25,2,1214,846,1202,859,1156,905
19th Sep 25 2025,68,21,20,1,1399,655,1302,754,1178,878
18th Sep 25 2025,56,17,20,1,1446,607,1309,745,1173,881
17th Sep 25 2025,75,18,24,1,1460,590,1303,748,1170,881
16th Sep 25 2025,79,12,17,1,1398,652,1249,802,1140,911
15th Sep 25 2025,88,17,15,0,1313,741,1129,926,1090,965
12th Sep 25 2025,58,12,17,1,1219,831,1079,972,1057,994
11th Sep 25 2025,55,23,24,1,1224,826,1066,985,1044,1007
10th Sep 25 2025,94,21,18,0,1211,839,1053,998,1047,1004
9th Sep 25 2025,69,27,24,0,1019,1030,911,1139,989,1061
8th Sep 25 2025,126,19,33,1,1006,1046,894,1159,995,1058
5th Sep 25 2025,87,13,28,1,908,1140,864,1185,956,1093
4th Sep 25 2025,51,30,20,2,946,1102,857,1192,974,1075
3rd Sep 25 2025,111,13,16,0,1049,997,910,1137,989,1058
2nd Sep 25 2025,123,22,12,0,869,1176,786,1261,949,1098
1st Sep 25 2025,128,15,12,2,731,1317,703,1346,911,1138
29th Aug 25 2025,51,22,8,1,511,1532,572,1472,828,1216
28th Aug 25 2025,30,60,6,1,526,1516,591,1452,844,1199
26th Aug 25 2025,27,63,11,2,629,1408,688,1350,904,1134
25th Aug 25 2025,72,34,24,1,941,1100,892,1150,1002,1040
22nd Aug 25 2025,52,17,22,0,911,1125,897,1140,988,1049
21st Aug 25 2025,59,19,21,0,1019,1018,959,1079,1003,1035
20th Aug 25 2025,107,9,20,1,1005,1029,948,1087,999,1036
19th Aug 25 2025,124,14,17,1,950,1083,898,1136,992,1042
18th Aug 25 2025,148,33,16,2,779,1258,805,1233,945,1093
14th Aug 25 2025,45,74,14,3,546,1484,639,1391,875,1156
13th Aug 25 2025,110,48,10,5,594,1436,679,1351,913,1118
12th Aug 25 2025,75,51,5,5,494,1536,613,1418,885,1146
11th Aug 25 2025,84,64,5,4,440,1591,601,1431,873,1159
8th Aug 25 2025,48,74,7,4,371,1661,548,1484,843,1189
7th Aug 25 2025,52,52,7,5,443,1589,637,1395,925,1107
6th Aug 25 2025,39,73,7,5,462,1568,641,1389,939,1091
5th Aug 25 2025,47,41,8,5,573,1454,733,1294,992,1035
4th Aug 25 2025,93,47,12,4,578,1451,781,1248,1018,1011
1st Aug 25 2025,35,118,9,0,446,1578,711,1313,975,1049
31st Jul 25 2025,53,47,9,1,580,1440,864,1156,1069,951
30th Jul 25 2025,92,33,9,1,677,1338,979,1036,1105,910
29th Jul 25 2025,118,18,9,1,610,1407,949,1067,1099,918
28th Jul 25 2025,37,117,9,4,493,1529,805,1217,1042,980
25th Jul 25 2025,24,88,9,3,630,1385,1003,1013,1129,887
24th Jul 25 2025,44,36,11,2,958,1058,1302,714,1260,755
23rd Jul 25 2025,51,28,14,2,1087,928,1357,658,1280,735
22nd Jul 25 2025,56,21,16,2,1043,970,1371,643,1275,739
21st Jul 25 2025,70,33,15,3,1136,882,1427,591,1286,732
18th Jul 25 2025,51,18,15,1,1160,853,1466,547,1303,710
17th Jul 25 2025,64,16,16,1,1327,684,1548,463,1328,683
16th Jul 25 2025,88,13,13,0,1333,677,1551,459,1315,695
15th Jul 25 2025,101,9,9,0,1257,754,1490,521,1285,726
14th Jul 25 2025,75,21,16,1,1003,1011,1358,656,1210,804
11th Jul 25 2025,42,15,6,0,990,1020,1393,617,1207,803
10th Jul 25 2025,68,10,11,1,1212,793,1499,506,1260,745
9th Jul 25 2025,76,9,10,2,1244,760,1502,503,1247,758
8th Jul 25 2025,57,16,13,2,1212,795,1486,521,1244,763
7th Jul 25 2025,65,28,20,1,1267,743,1513,497,1257,753
4th Jul 25 2025,66,16,19,1,1373,635,1565,443,1267,741
3rd Jul 25 2025,72,14,19,0,1356,649,1535,470,1252,753
2nd Jul 25 2025,57,21,22,0,1341,662,1526,477,1225,778
1st Jul 25 2025,82,20,27,0,1436,563,1560,439,1239,760
30th Jun 25 2025,114,16,29,0,1469,531,1565,435,1250,750
27th Jun 25 2025,89,13,23,0,1420,576,1530,466,1234,762
26th Jun 25 2025,62,12,22,0,1354,643,1508,489,1202,795
25th Jun 25 2025,153,6,10,0,1352,644,1504,492,1200,796
24th Jun 25 2025,96,15,5,1,1042,955,1342,654,1103,895
23rd Jun 25 2025,72,18,5,1,834,1165,1197,802,1057,943
20th Jun 25 2025,80,11,7,1,822,1172,1226,768,1041,954
19th Jun 25 2025,17,80,6,0,587,1407,1116,878,997,998
18th Jun 25 2025,39,24,4,0,925,1067,1349,643,1110,883
17th Jun 25 2025,46,36,6,1,1012,980,1400,592,1144,849
16th Jun 25 2025,73,15,9,1,1241,754,1500,495,1187,809
13th Jun 25 2025,38,23,16,1,1181,810,1513,478,1159,833
12th Jun 25 2025,33,48,21,0,1418,572,1589,401,1215,776
11th Jun 25 2025,109,19,26,0,1639,349,1704,284,1292,697
10th Jun 25 2025,104,8,29,1,1634,354,1682,306,1271,718
9th Jun 25 2025,151,9,22,0,1621,370,1665,326,1248,744
6th Jun 25 2025,113,17,21,0,1489,500,1576,413,1168,822
5th Jun 25 2025,115,5,15,0,1449,539,1508,480,1120,869
4th Jun 25 2025,98,20,13,0,1368,619,1486,501,1087,901
3rd Jun 25 2025,69,23,17,0,1312,674,1475,511,1063,924
2nd Jun 25 2025,122,47,23,0,1418,568,1509,477,1061,926
30th May 25 2025,91,58,26,0,1434,549,1517,466,1057,927
29th May 25 2025,103,43,34,0,1505,477,1537,445,1097,886
28th May 25 2025,97,30,24,1,1542,439,1550,431,1077,905
27th May 25 2025,79,26,27,1,1588,392,1579,402,1085,896
26th May 25 2025,114,39,19,0,1630,353,1614,370,1068,916
23rd May 25 2025,84,29,23,1,1637,342,1606,374,1048,932
22nd May 25 2025,70,36,26,1,1615,364,1575,405,1008,972
21st May 25 2025,83,36,30,1,1675,303,1600,379,1015,964
20th May 25 2025,56,72,54,1,1651,327,1586,393,981,998
19th May 25 2025,180,29,80,0,1770,211,1691,291,1048,934
16th May 25 2025,192,25,156,0,1757,221,1646,333,995,984
15th May 25 2025,151,26,86,0,1712,265,1549,429,930,1048
14th May 25 2025,206,10,43,1,1698,278,1482,495,861,1116
13th May 25 2025,163,17,33,1,1590,386,1297,680,775,1202
12th May 25 2025,966,9,14,2,1453,525,1166,813,730,1249
9th May 25 2025,42,42,8,4,536,1440,643,1334,518,1459
8th May 25 2025,48,38,5,3,635,1343,679,1299,532,1445
7th May 25 2025,87,21,4,5,786,1191,801,1176,580,1397
6th May 25 2025,13,313,5,3,672,1304,704,1272,530,1446
5th May 25 2025,132,22,11,3,1067,910,935,1042,645,1332
2nd May 25 2025,39,33,6,4,816,1161,822,1155,599,1378
30th Apr 25 2025,16,105,7,5,875,1100,828,1147,602,1373
29th Apr 25 2025,56,28,10,2,1232,743,1045,930,662,1313
28th Apr 25 2025,63,37,17,2,1283,694,1075,902,675,1302
25th Apr 25 2025,19,356,17,1,1296,678,1045,929,654,1320
24th Apr 25 2025,86,28,28,2,1752,224,1414,562,775,1201
23rd Apr 25 2025,96,14,41,2,1773,203,1392,584,783,1193
22nd Apr 25 2025,135,14,72,2,1771,205,1383,593,766,1210
21st Apr 25 2025,183,10,102,2,1757,220,1301,676,739,1238
17th Apr 25 2025,84,13,41,2,1632,342,1110,864,655,1319
16th Apr 25 2025,143,13,68,2,1627,347,1047,927,612,1362
15th Apr 25 2025,443,6,15,1,1498,476,906,1068,561,1413
11th Apr 25 2025,310,4,5,2,911,1061,576,1396,445,1527
9th Apr 25 2025,40,92,6,17,509,1461,399,1571,360,1610
8th Apr 25 2025,258,12,7,7,563,1408,441,1530,375,1596
7th Apr 25 2025,5,817,13,16,299,1672,292,1679,302,1669
4th Apr 25 2025,28,464,21,7,797,1173,554,1416,445,1525
3rd Apr 25 2025,202,22,30,3,1413,557,877,1093,550,1420
2nd Apr 25 2025,162,10,11,2,1257,712,754,1215,506,1463
1st Apr 25 2025,290,34,7,4,1053,917,648,1322,443,1527
28th Mar 25 2025,52,59,9,3,898,1067,632,1333,481,1484
27th Mar 25 2025,123,89,13,2,991,974,648,1317,493,1472
26th Mar 25 2025,28,182,19,3,956,1008,598,1366,455,1509
25th Mar 25 2025,43,213,45,0,1177,787,692,1272,495,1469
24th Mar 25 2025,176,16,129,1,1483,480,823,1140,545,1419
21st Mar 25 2025,232,12,55,0,1397,564,701,1261,471,1491
20th Mar 25 2025,131,19,23,1,1153,807,573,1388,406,1555
19th Mar 25 2025,341,8,17,2,1060,898,483,1476,362,1597
18th Mar 25 2025,317,18,11,3,722,1236,327,1631,309,1650
17th Mar 25 2025,57,131,4,14,412,1546,238,1721,263,1696
13th Mar 25 2025,33,59,4,6,355,1599,226,1729,258,1697
18th Mar 26 2026,325,9,7,3,495,1643,392,1746,444,1694
17th Mar 26 2026,99,18,6,8,259,1882,301,1840,403,1738
16th Mar 26 2026,41,121,5,7,190,1954,254,1890,375,1769
13th Mar 26 2026,19,378,9,7,213,1929,293,1849,380,1762
12th Mar 26 2026,58,49,11,6,434,1708,418,1724,444,1698
11th Mar 26 2026,78,54,12,5,439,1704,429,1714,464,1679
10th Mar 26 2026,279,16,11,5,446,1696,438,1705,473,1670
9th Mar 26 2026,28,283,6,14,274,1869,333,1811,412,1732
6th Mar 26 2026,60,40,4,8,389,1753,448,1695,498,1645
5th Mar 26 2026,115,19,9,3,402,1740,465,1678,508,1635
4th Mar 26 2026,48,260,7,4,291,1851,400,1743,465,1678
2nd Mar 26 2026,60,264,6,4,445,1698,490,1654,559,1585
27th Feb 26 2026,42,60,8,1,689,1452,687,1455,666,1476
26th Feb 26 2026,67,21,9,5,833,1308,760,1382,702,1440
25th Feb 26 2026,56,42,5,3,787,1354,741,1401,696,1446
24th Feb 26 2026,25,94,9,2,702,1439,673,1469,684,1458
23rd Feb 26 2026,63,49,6,2,857,1286,783,1361,716,1428
20th Feb 26 2026,50,30,9,4,831,1310,770,1372,707,1435
19th Feb 26 2026,35,52,9,6,799,1342,753,1389,704,1438
18th Feb 26 2026,70,18,6,7,1093,1048,927,1215,772,1370
17th Feb 26 2026,109,19,8,3,1028,1113,865,1277,749,1393
16th Feb 26 2026,51,106,12,4,923,1220,776,1368,728,1416
13th Feb 26 2026,35,168,21,1,963,1178,793,1349,724,1418
12th Feb 26 2026,62,104,28,1,1310,831,1026,1116,791,1350
11th Feb 26 2026,93,65,16,2,1493,648,1120,1022,819,1323
10th Feb 26 2026,137,38,34,1,1573,567,1150,991,819,1322
9th Feb 26 2026,390,18,53,1,1514,629,1070,1074,804,1340
6th Feb 26 2026,59,74,30,3,1123,1018,771,1371,684,1458
5th Feb 26 2026,58,91,33,6,1159,982,778,1364,690,1452
4th Feb 26 2026,240,54,44,18,1346,795,842,1300,723,1419
3rd Feb 26 2026,527,12,27,18,1139,1003,745,1397,703,1439
2nd Feb 26 2026,77,74,16,19,450,1693,370,1773,532,1611
1st Feb 26 2026,58,239,9,4,431,1712,359,1784,493,1650
30th Jan 26 2026,168,98,15,6,666,1475,494,1647,603,1538
29th Jan 26 2026,139,61,25,5,532,1609,432,1709,571,1570
28th Jan 26 2026,352,21,12,6,538,1603,424,1717,558,1583
27th Jan 26 2026,103,71,4,10,308,1836,322,1822,485,1659
23rd Jan 26 2026,55,210,2,6,273,1868,294,1847,478,1663
22nd Jan 26 2026,179,56,3,4,361,1780,371,1770,546,1595
21st Jan 26 2026,58,145,21,2,231,1910,290,1851,487,1654
20th Jan 26 2026,30,375,25,1,254,1887,316,1825,522,1619
19th Jan 26 2026,44,88,30,2,450,1694,475,1669,627,1517
16th Jan 26 2026,72,33,27,2,536,1604,536,1604,675,1465
14th Jan 26 2026,84,21,7,1,524,1615,555,1584,689,1450
13th Jan 26 2026,70,16,5,1,488,1651,524,1615,678,1461
12th Jan 26 2026,61,74,6,3,426,1716,505,1637,669,1473
9th Jan 26 2026,17,103,4,3,429,1708,536,1601,686,1451
8th Jan 26 2026,15,139,7,3,667,1471,702,1436,772,1366
7th Jan 26 2026,68,17,14,3,1062,1076,917,1221,859,1279
6th Jan 26 2026,44,27,16,1,1024,1113,880,1257,844,1293
5th Jan 26 2026,64,38,15,1,1143,996,938,1201,869,1270
2nd Jan 26 2026,102,11,12,1,1318,818,957,1179,872,1264
1st Jan 26 2026,63,16,9,2,1079,1058,832,1305,817,1320
31st Dec 25 2025,84,15,7,2,1051,1084,807,1328,814,1321
30th Dec 25 2025,57,33,9,2,773,1360,688,1445,762,1371
29th Dec 25 2025,44,45,13,0,754,1383,715,1422,766,1371
26th Dec 25 2025,64,18,19,0,931,1203,767,1367,796,1338
24th Dec 25 2025,57,15,13,0,1086,1047,802,1331,813,1320
23rd Dec 25 2025,66,16,9,2,1132,1001,810,1323,820,1313
22nd Dec 25 2025,114,13,8,1,1016,1119,751,1384,804,1331
19th Dec 25 2025,91,17,9,1,702,1430,642,1490,760,1372
18th Dec 25 2025,40,30,11,1,492,1639,538,1593,716,1415
17th Dec 25 2025,32,56,13,1,496,1633,571,1558,725,1404
16th Dec 25 2025,38,30,14,0,624,1505,618,1511,757,1372
15th Dec 25 2025,79,22,16,1,747,1381,675,1453,779,1349
12th Dec 25 2025,99,10,9,3,699,1423,653,1470,761,1362
11th Dec 25 2025,78,15,6,3,505,1617,562,1560,726,1397
10th Dec 25 2025,54,28,7,2,388,1730,479,1639,710,1409
9th Dec 25 2025,134,15,1,2,424,1694,514,1604,715,1404
8th Dec 25 2025,18,241,3,2,320,1800,463,1657,687,1434
5th Dec 25 2025,33,36,3,3,542,1575,619,1498,784,1334
4th Dec 25 2025,29,27,3,4,531,1586,637,1480,792,1326
3rd Dec 25 2025,18,41,1,3,535,1581,635,1481,809,1308
2nd Dec 25 2025,28,33,5,2,647,1469,709,1407,828,1289
1st Dec 25 2025,63,36,6,3,729,1388,742,1376,852,1266
28th Nov 25 2025,58,21,2,3,753,1359,762,1351,858,1255
27th Nov 25 2025,55,20,2,3,743,1367,756,1355,855,1256
26th Nov 25 2025,82,14,3,2,747,1362,758,1352,869,1241
25th Nov 25 2025,70,13,5,3,558,1550,644,1466,816,1294
24th Nov 25 2025,35,135,6,6,518,1593,623,1489,795,1317
21st Nov 25 2025,30,34,6,4,608,1496,696,1410,850,1256
20th Nov 25 2025,40,23,9,4,762,1343,822,1284,888,1218
19th Nov 25 2025,43,41,7,3,790,1313,827,1277,906,1198
18th Nov 25 2025,39,38,12,3,776,1325,836,1266,908,1194
17th Nov 25 2025,99,49,11,2,943,1161,910,1195,954,1151
14th Nov 25 2025,73,44,12,2,872,1226,875,1224,932,1167
13th Nov 25 2025,70,50,12,2,854,1242,870,1227,958,1139
12th Nov 25 2025,107,26,8,2,890,1204,903,1192,967,1128
11th Nov 25 2025,70,53,7,8,740,1356,811,1286,925,1172
10th Nov 25 2025,83,89,11,7,741,1356,811,1287,927,1171
7th Nov 25 2025,72,41,11,3,666,1427,807,1286,924,1169
6th Nov 25 2025,44,146,13,3,604,1488,806,1286,914,1178
4th Nov 25 2025,39,27,15,1,880,1211,969,1122,1015,1076
3rd Nov 25 2025,97,38,17,1,1098,996,1084,1010,1056,1038
31st Oct 25 2025,43,29,12,0,977,1109,1017,1069,1027,1059
30th Oct 25 2025,53,23,9,0,1132,954,1099,987,1058,1028
29th Oct 25 2025,86,24,11,0,1168,917,1106,979,1069,1016
28th Oct 25 2025,61,30,13,1,1006,1084,1002,1088,1031,1059
27th Oct 25 2025,80,37,19,2,1030,1067,1014,1083,1053,1044
24th Oct 25 2025,50,27,17,3,988,1102,978,1112,1018,1072
23rd Oct 25 2025,79,47,19,3,1074,1016,1019,1071,1043,1047
21st Oct 25 2025,57,2,22,0,1128,961,1030,1059,1049,1040
20th Oct 25 2025,97,43,14,3,943,1153,919,1177,1003,1093
17th Oct 25 2025,43,42,11,1,851,1236,862,1225,968,1119
16th Oct 25 2025,78,34,13,2,938,1146,925,1159,1001,1083
15th Oct 25 2025,88,27,13,2,833,1251,875,1209,967,1117
14th Oct 25 2025,42,66,24,3,679,1403,785,1297,929,1153
13th Oct 25 2025,55,44,18,4,860,1226,905,1181,996,1090
10th Oct 25 2025,85,24,20,3,1009,1071,977,1103,1035,1045
9th Oct 25 2025,92,39,32,5,914,1168,929,1153,1012,1070
8th Oct 25 2025,79,26,31,2,824,1255,879,1200,994,1085
7th Oct 25 2025,63,33,22,1,911,1166,935,1142,1009,1068
6th Oct 25 2025,83,36,19,1,940,1137,945,1132,1009,1068
3rd Oct 25 2025,128,13,11,1,909,1165,929,1145,1025,1050
1st Oct 25 2025,128,9,12,1,692,1379,789,1282,967,1105
30th Sep 25 2025,41,28,8,2,488,1577,616,1449,886,1180
29th Sep 25 2025,64,61,14,3,456,1612,627,1441,883,1186
26th Sep 25 2025,14,113,18,1,452,1607,618,1441,887,1173
25th Sep 25 2025,42,36,21,1,749,1309,896,1162,1013,1046
24th Sep 25 2025,54,29,18,2,943,1114,1059,998,1075,983
23rd Sep 25 2025,67,23,20,2,1118,938,1161,895,1117,940
22nd Sep 25 2025,79,41,25,2,1216,846,1204,859,1158,905
19th Sep 25 2025,68,21,20,1,1401,655,1304,754,1180,878
18th Sep 25 2025,56,17,20,1,1447,608,1311,745,1175,881
17th Sep 25 2025,75,18,24,1,1461,591,1304,749,1172,881
16th Sep 25 2025,79,12,17,1,1400,652,1251,802,1142,911
15th Sep 25 2025,88,17,15,0,1315,741,1131,926,1092,965
12th Sep 25 2025,58,12,17,1,1221,831,1081,972,1059,994
11th Sep 25 2025,55,23,24,1,1226,826,1068,985,1046,1007
10th Sep 25 2025,94,21,18,0,1213,839,1055,998,1049,1004
9th Sep 25 2025,69,27,24,0,1021,1030,913,1139,991,1061
8th Sep 25 2025,126,19,33,1,1008,1046,896,1159,997,1058
5th Sep 25 2025,87,13,28,1,910,1140,866,1185,958,1093
4th Sep 25 2025,51,30,20,2,947,1103,859,1192,976,1075
3rd Sep 25 2025,111,13,16,0,1050,998,911,1138,991,1058
2nd Sep 25 2025,123,22,12,0,871,1176,788,1261,951,1098
1st Sep 25 2025,128,15,12,2,733,1317,705,1346,913,1138
29th Aug 25 2025,51,22,8,1,513,1532,574,1472,830,1216
28th Aug 25 2025,30,60,6,1,527,1517,592,1453,846,1199
26th Aug 25 2025,27,63,11,2,631,1408,690,1350,906,1134
25th Aug 25 2025,72,34,24,1,942,1101,894,1150,1004,1040
22nd Aug 25 2025,52,17,22,0,913,1125,899,1140,990,1049
21st Aug 25 2025,59,19,21,0,1021,1018,961,1079,1005,1035
20th Aug 25 2025,107,9,20,1,1007,1029,950,1087,1001,1036
19th Aug 25 2025,125,14,17,1,953,1082,900,1136,994,1042
18th Aug 25 2025,148,33,16,2,781,1258,806,1234,947,1093
14th Aug 25 2025,45,74,14,3,547,1485,640,1392,877,1156
13th Aug 25 2025,110,48,10,5,595,1437,680,1352,915,1118
12th Aug 25 2025,75,51,5,5,494,1538,614,1419,886,1147
11th Aug 25 2025,84,64,5,4,439,1594,601,1433,874,1160
8th Aug 25 2025,48,74,7,4,371,1663,548,1486,844,1190
7th Aug 25 2025,52,52,7,5,443,1591,637,1397,927,1107
6th Aug 25 2025,39,73,7,5,462,1570,642,1390,940,1092
5th Aug 25 2025,47,41,8,5,573,1456,734,1295,994,1035
4th Aug 25 2025,93,47,12,4,578,1453,782,1249,1020,1011
1st Aug 25 2025,35,118,9,0,446,1580,711,1315,976,1050
31st Jul 25 2025,53,47,9,1,581,1441,865,1157,1071,951
30th Jul 25 2025,92,33,9,1,678,1339,980,1037,1107,910
29th Jul 25 2025,118,18,9,1,610,1409,950,1068,1101,918
28th Jul 25 2025,37,118,9,4,493,1531,805,1219,1043,981
25th Jul 25 2025,24,88,9,3,629,1388,1004,1014,1130,888
24th Jul 25 2025,44,36,11,2,957,1061,1303,715,1262,755
23rd Jul 25 2025,51,28,14,2,1087,930,1359,658,1282,735
